iter	Passed	Remaining
400	25353	37872
401	25410	37799
402	25465	37723
403	25530	37664
404	25581	37582
405	25645	37520
406	25705	37452
407	25765	37384
408	25834	37330
409	25884	37248
410	25940	37174
411	25991	37094
412	26054	37032
413	26108	36954
414	26165	36883
415	26225	36817
416	26282	36744
417	26334	36666
418	26392	36596
419	26455	36533
420	26511	36460
421	26569	36392
422	26617	36308
423	26661	36219
424	26726	36159
425	26784	36089
426	26833	36008
427	26894	35942
428	26954	35876
429	27012	35806
430	27070	35738
431	27129	35670
432	27184	35596
433	27245	35531
434	27304	35464
435	27357	35389
436	27413	35317
437	27471	35249
438	27526	35176
439	27579	35100
440	27637	35032
441	27702	34972
442	27759	34902
443	27811	34827
444	27862	34749
445	27922	34684
446	27977	34611
447	28030	34538
448	28085	34465
449	28139	34392
450	28216	34347
451	28273	34278
452	28341	34222
453	28388	34141
454	28438	34063
455	28492	33990
456	28555	33929
457	28597	33842
458	28646	33763
459	28715	33709
460	28769	33636
461	28826	33568
462	28888	33506
463	28947	33439
464	29003	33369
465	29056	33296
466	29108	33222
467	29160	33147
468	29210	33072
469	29265	33001
470	29333	32945
471	29383	32869
472	29439	32800
473	29493	32728
474	29547	32657
475	29599	32584
476	29643	32502
477	29698	32432
478	29760	32370
479	29816	32301
480	29872	32232
481	29956	32193
482	30025	32138
483	30081	32070
484	30141	32006
485	30215	31956
486	30289	31906
487	30349	31841
488	30394	31762
489	30443	31685
490	30492	31609
491	30539	31532
492	30590	31459
493	30642	31386
494	30697	31317
495	30752	31248
496	30808	31180
497	30857	31105
498	30910	31033
499	30963	30963
500	31014	30890
501	31080	30832
502	31140	30769
503	31198	30703
504	31248	30629
505	31304	30561
506	31366	30500
507	31421	30431
508	31481	30368
509	31528	30291
510	31583	30223
511	31634	30151
512	31689	30083
513	31738	30009
514	31792	29940
515	31847	29872
516	31912	29814
517	31976	29754
518	32031	29685
519	32084	29616
520	32140	29549
521	32190	29477
522	32245	29409
523	32304	29345
524	32355	29274
525	32408	29205
526	32466	29140
527	32521	29072
528	32593	29020
529	32648	28952
530	32713	28893
531	32771	28828
532	32822	28758
533	32888	28700
534	32937	28627
535	33000	28567
536	33046	28492
537	33096	28421
538	33150	28352
539	33206	28286
540	33272	28229
541	33333	28167
542	33391	28102
543	33452	28041
544	33515	27980
545	33586	27927
546	33644	27862
547	33706	27801
548	33752	27727
549	33803	27657
550	33858	27590
551	33911	27522
552	33963	27453
553	34028	27394
554	34079	27325
555	34138	27261
556	34185	27189
557	34235	27118
558	34297	27057
559	34353	26992
560	34408	26926
561	34470	26864
562	34524	26797
563	34592	26741
564	34647	26675
565	34699	26606
566	34745	26533
567	34813	26478
568	34878	26419
569	34937	26356
570	34991	26289
571	35046	26223
572	35107	26162
573	35178	26107
574	35234	26042
575	35292	25979
576	35352	25917
577	35402	25847
578	35461	25784
579	35525	25725
580	35574	25655
581	35632	25591
582	35697	25533
583	35759	25472
584	35816	25408
585	35875	25345
586	35940	25286
587	35996	25222
588	36048	25154
589	36102	25088
590	36163	25026
591	36219	24962
592	36274	24896
593	36337	24836
594	36395	24773
595	36443	24703
596	36496	24636
597	36549	24570
598	36615	24512
599	36671	24447
600	36731	24385
601	36790	24323
602	36850	24261
603	36899	24192
604	36959	24130
605	37039	24081
606	37089	24013
607	37144	23948
608	37201	23884
