iter	Logloss
0	0.6571026553
5	0.514440253
10	0.4223304612
15	0.3666737717
20	0.32751189
25	0.2996205164
30	0.2806614154
35	0.2671779612
40	0.2578786265
45	0.250400983
50	0.2448428509
55	0.2405770909
60	0.2372143172
65	0.2347720661
70	0.2325819559
75	0.2309795342
80	0.2295948973
85	0.2283711605
90	0.227434919
95	0.2267667164
100	0.225919514
105	0.225227426
110	0.2245514919
115	0.2240526376
120	0.2235331492
125	0.2231840843
130	0.2228434164
135	0.2225555114
140	0.2222589279
145	0.2218344434
150	0.2214147975
155	0.2212179797
160	0.2210915637
165	0.2209328141
170	0.2207860711
175	0.220687611
180	0.2204487313
185	0.2202301785
190	0.2200801843
195	0.2199184394
200	0.2197838056
205	0.2194729624
210	0.2193760384
215	0.2191443013
220	0.2189663511
225	0.2187688165
230	0.2186085564
235	0.2182731366
240	0.2180253223
245	0.2178726144
250	0.2177834218
255	0.217675003
260	0.2176013755
265	0.2173428345
270	0.2171150143
275	0.2168720641
280	0.2166140863
285	0.216453519
290	0.2162849899
295	0.2160961595
300	0.2159961634
305	0.2158469116
310	0.2156191426
315	0.2154730908
320	0.2153589119
325	0.2152712041
330	0.2151987543
335	0.2149736477
340	0.2148754692
345	0.2147981296
350	0.2147076953
355	0.2145772984
360	0.2144747934
365	0.2143198966
370	0.21416916
375	0.213996074
380	0.2139127055
385	0.2138647682
390	0.2137710186
395	0.2136927831
400	0.2134884898
405	0.2134147088
410	0.2133170039
415	0.2131517901
420	0.2130981951
425	0.213077625
430	0.2130436017
435	0.2129566491
440	0.2128379005
445	0.2127978994
450	0.2127724268
455	0.2126348873
460	0.2125801659
465	0.2124927653
470	0.2124445592
475	0.2122884592
480	0.2121904599
485	0.2120591158
490	0.2119474586
495	0.2118690054
500	0.2118263419
505	0.2117186655
510	0.2116131524
515	0.2114552988
520	0.211384321
525	0.2113198585
530	0.2112110174
535	0.2111337546
540	0.2110505781
545	0.2109970343
550	0.2109446682
555	0.2109031951
560	0.2108686854
565	0.2107730286
570	0.2107183456
575	0.2106334666
580	0.2105465396
585	0.2104918694
590	0.2103536259
595	0.2103284861
600	0.210261438
605	0.2101891801
610	0.2100992194
615	0.2100458549
620	0.2099776803
625	0.209971101
630	0.2098560516
635	0.2097815921
640	0.2097384294
645	0.2097006173
650	0.2096169927
655	0.2095589561
660	0.2095403316
665	0.2094925224
670	0.2094389786
675	0.2093632263
680	0.2093152634
685	0.2092969846
690	0.2092287972
695	0.2092053982
700	0.2091103558
705	0.2090141614
710	0.2089290904
715	0.2089184789
720	0.208795007
725	0.2087869812
730	0.2087633902
735	0.2087351398
740	0.2086979037
745	0.2086553938
750	0.2085825216
755	0.2085534392
760	0.2085010347
765	0.2084698275
770	0.2084252439
775	0.2083620103
780	0.2083152635
785	0.2082900725
790	0.2082712944
795	0.2082180323
800	0.2081178441
805	0.2081045574
810	0.2080662076
815	0.2080040876
820	0.2079419676
825	0.2078865934
830	0.2078265087
835	0.2077821043
840	0.2077536364
845	0.2076377551
850	0.2075813952
855	0.2075076653
860	0.2074730917
865	0.2074309914
870	0.2073783052
875	0.2073260927
880	0.2071501906
885	0.2071015366
890	0.207079648
895	0.2070694334
900	0.2070600891
905	0.2070052269
910	0.2069617442
915	0.2069235225
920	0.2068946193
925	0.2068396803
930	0.2068256256
935	0.2067730802
940	0.2067289831
945	0.2066906845
950	0.2066820571
955	0.2066680791
960	0.2065805505
965	0.2065401143
970	0.2064814376
975	0.2064287514
980	0.2063188606
985	0.2063115132
990	0.2062793076
995	0.2062556526
999	0.2062529518
