iter	Logloss
0	0.6571594818
5	0.51451699
10	0.4251929109
15	0.3671096146
20	0.3284638858
25	0.3006628346
30	0.2819490735
35	0.2679533419
40	0.2584156122
45	0.2509917965
50	0.2457925267
55	0.2415980088
60	0.2383161217
65	0.2358505972
70	0.2337691738
75	0.2319042779
80	0.2304925355
85	0.2294368075
90	0.2282330154
95	0.2272296974
100	0.226418302
105	0.2256686875
110	0.225209338
115	0.2246587382
120	0.2242036645
125	0.2238623464
130	0.2234775027
135	0.2230484163
140	0.2226929396
145	0.2224542653
150	0.2221796695
155	0.2217893978
160	0.2214849485
165	0.2213384718
170	0.221035866
175	0.2208186473
180	0.2206736556
185	0.2204798127
190	0.2202292072
195	0.2200497278
200	0.2197343203
205	0.2193611517
210	0.2192126523
215	0.2189761287
220	0.2187016097
225	0.2186020383
230	0.2184561249
235	0.2182911114
240	0.2180611422
245	0.2178273325
250	0.217646701
255	0.2174599246
260	0.2173076872
265	0.217117352
270	0.2169943023
275	0.2168145157
280	0.2167064952
285	0.2165231241
290	0.216367379
295	0.2162415642
300	0.2161254531
305	0.2159752639
310	0.2158069732
315	0.2156410379
320	0.2155086687
325	0.2154105567
330	0.2153050965
335	0.2152158433
340	0.2151181922
345	0.2150773805
350	0.2150117079
355	0.214767004
360	0.214710267
365	0.2145770912
370	0.2144256731
375	0.2142684814
380	0.2141292505
385	0.2140533238
390	0.2139388
395	0.2138345176
400	0.2137909664
405	0.2137357272
410	0.2136735367
415	0.2135548908
420	0.2135163834
425	0.2134955679
430	0.2134628084
435	0.2132641137
440	0.2132256447
445	0.2130918416
450	0.2129446608
455	0.2127822077
460	0.2127530199
465	0.2127390148
470	0.2126643939
475	0.2125882112
480	0.2124694885
485	0.2123507658
490	0.212215913
495	0.2121592913
500	0.2121237282
505	0.212094054
510	0.2119951995
515	0.2119796454
520	0.2119306279
525	0.2118025728
530	0.2117531711
535	0.2116149771
540	0.2115724756
545	0.2115146504
550	0.2114553403
555	0.2114146438
560	0.2113012722
565	0.2111863388
570	0.2110213509
575	0.2109397147
580	0.2109266442
585	0.2108954081
590	0.210860946
595	0.2107739075
600	0.2107085422
605	0.2106717886
610	0.2105504415
615	0.2104887375
620	0.2104165233
625	0.210270213
630	0.2102366342
635	0.2102169965
640	0.2101816383
645	0.2101110115
650	0.2100265717
655	0.2099350397
660	0.2098695848
665	0.2097669922
670	0.2097511694
675	0.2097243371
680	0.2097079381
685	0.2096263531
690	0.2095962948
695	0.2095489158
700	0.209482936
705	0.2093536007
710	0.2092567433
715	0.2091775266
720	0.2090940085
725	0.2089821347
730	0.2089087427
735	0.208832112
740	0.2086717198
745	0.2086095549
750	0.2085724301
755	0.2084929189
760	0.2083549169
765	0.2083354584
770	0.2082884763
775	0.2082062256
780	0.2081472227
785	0.2081134775
790	0.2080347984
795	0.2079921049
800	0.2079274948
805	0.2078174005
810	0.2078064679
815	0.2077568102
820	0.2076294336
825	0.2075647211
830	0.2075399115
835	0.2075200049
840	0.2074693615
845	0.2074325823
850	0.2073669866
855	0.2073408968
860	0.2073018261
865	0.2072052887
870	0.2071414212
875	0.2071012239
880	0.2070577751
885	0.2069965063
890	0.2069737065
895	0.2069339061
900	0.2068132504
905	0.2067771625
910	0.2067320494
915	0.206615695
920	0.206569737
925	0.2064474939
930	0.2064245533
935	0.2064042371
940	0.2063825126
945	0.2063154191
950	0.2062429872
955	0.2061920238
960	0.2061773019
965	0.2061478836
970	0.206088996
975	0.2060444718
980	0.2059465262
985	0.2058991088
990	0.2058580795
995	0.2057559606
999	0.2057413795
