iter	Passed	Remaining
0	78	78372
1	188	94107
2	272	90551
3	330	82384
4	418	83291
5	488	80927
6	548	77773
7	603	74866
8	673	74150
9	734	72688
10	808	72677
11	879	72408
12	934	70977
13	996	70197
14	1059	69543
15	1117	68736
16	1173	67866
17	1244	67918
18	1309	67621
19	1378	67562
20	1459	68027
21	1526	67857
22	1589	67538
23	1651	67177
24	1706	66555
25	1769	66303
26	1824	65752
27	1874	65078
28	1937	64885
29	1987	64255
30	2036	63652
31	2097	63464
32	2161	63333
33	2214	62907
34	2265	62472
35	2314	61971
36	2385	62091
37	2445	61917
38	2505	61730
39	2555	61323
40	2623	61361
41	2680	61138
42	2745	61105
43	2795	60729
44	2858	60674
45	2921	60585
46	2978	60398
47	3035	60210
48	3098	60126
49	3155	59959
50	3219	59915
51	3283	59854
52	3345	59779
53	3398	59542
54	3475	59715
55	3543	59727
56	3593	59455
57	3655	59377
58	3709	59161
59	3759	58897
60	3825	58891
61	3885	58778
62	3950	58757
63	4010	58657
64	4065	58481
65	4121	58319
66	4195	58429
67	4253	58303
68	4311	58173
69	4362	57962
70	4418	57815
71	4484	57796
72	4534	57580
73	4590	57443
74	4646	57312
75	4703	57186
76	4756	57010
77	4808	56842
78	4862	56688
79	4915	56531
80	4985	56567
81	5034	56365
82	5098	56331
83	5165	56330
84	5237	56381
85	5294	56272
86	5344	56088
87	5398	55948
88	5449	55779
89	5503	55644
90	5565	55596
91	5630	55567
92	5687	55472
93	5741	55339
94	5796	55215
95	5853	55120
96	5906	54989
97	5957	54836
98	6009	54694
99	6061	54551
100	6114	54429
101	6170	54326
102	6225	54215
103	6275	54062
104	6327	53934
105	6387	53871
106	6436	53716
107	6490	53607
108	6554	53578
109	6595	53365
110	6655	53304
111	6712	53219
112	6769	53141
113	6816	52978
114	6874	52901
115	6930	52817
116	6990	52755
117	7044	52654
118	7098	52549
119	7150	52438
120	7194	52266
121	7251	52188
122	7320	52192
123	7375	52101
124	7437	52064
125	7491	51965
126	7543	51854
127	7643	52073
128	7693	51945
129	7765	51972
130	7836	51981
131	7904	51976
132	7956	51863
133	8006	51746
134	8058	51635
135	8122	51601
136	8183	51547
137	8238	51462
138	8292	51362
139	8353	51314
140	8401	51182
141	8458	51107
142	8514	51025
143	8583	51025
144	8637	50934
145	8699	50884
146	8756	50808
147	8812	50728
148	8863	50623
149	8914	50513
150	8964	50401
151	9028	50366
152	9077	50252
153	9129	50154
154	9191	50105
155	9251	50051
156	9307	49976
157	9371	49943
158	9429	49877
159	9483	49790
160	9536	49698
161	9594	49631
162	9653	49569
163	9708	49489
164	9759	49391
165	9796	49218
166	9851	49140
167	9907	49067
168	9952	48938
169	10017	48909
170	10063	48789
171	10115	48694
172	10182	48674
173	10225	48539
174	10282	48475
175	10342	48421
176	10399	48355
177	10457	48292
178	10524	48269
179	10572	48164
180	10632	48109
181	10694	48068
182	10757	48024
183	10816	47970
184	10883	47946
185	10932	47843
186	10998	47815
187	11045	47706
188	11102	47640
189	11147	47523
190	11201	47446
191	11255	47365
192	11315	47312
193	11407	47395
194	11480	47394
195	11541	47343
196	11592	47253
197	11642	47157
198	11689	47052
199	11743	46975
200	11815	46969
201	11870	46894
202	11939	46875
203	11996	46811
204	12053	46745
205	12138	46787
206	12187	46689
207	12238	46598
208	12293	46525
209	12359	46495
210	12430	46482
211	12484	46403
212	12542	46343
213	12612	46323
214	12674	46277
215	12742	46250
216	12811	46226
217	12876	46191
218	12929	46108
219	12987	46047
220	13041	45970
221	13111	45949
222	13161	45857
223	13224	45813
224	13278	45736
225	13335	45670
226	13397	45621
227	13475	45629
228	13527	45544
229	13596	45518
230	13661	45478
231	13717	45410
232	13771	45334
233	13817	45233
234	13872	45160
235	13930	45096
236	13984	45021
237	14036	44941
238	14100	44897
239	14151	44814
240	14210	44752
241	14265	44683
242	14314	44594
243	14366	44513
244	14428	44462
245	14480	44383
246	14554	44371
247	14602	44279
248	14658	44211
249	14704	44112
250	14772	44082
251	14820	43990
252	14881	43939
253	14934	43862
254	15003	43832
255	15074	43810
256	15124	43725
257	15183	43667
258	15239	43600
259	15293	43528
260	15346	43451
261	15402	43386
262	15458	43319
263	15531	43299
264	15585	43227
265	15639	43155
266	15686	43065
267	15752	43024
268	15825	43004
269	15888	42957
270	15943	42887
271	16001	42826
272	16051	42744
273	16103	42669
274	16158	42600
275	16218	42544
276	16270	42468
277	16317	42377
278	16368	42300
279	16425	42236
280	16501	42223
281	16551	42141
282	16617	42102
283	16662	42008
284	16712	41927
285	16772	41872
286	16826	41803
287	16877	41725
288	16933	41658
289	16991	41599
290	17050	41542
291	17108	41482
292	17163	41414
293	17213	41335
294	17270	41273
295	17320	41194
296	17377	41133
297	17436	41076
298	17491	41007
299	17547	40943
300	17597	40865
301	17648	40790
302	17704	40726
303	17774	40694
304	17825	40618
305	17881	40555
306	17934	40484
307	17979	40395
308	18006	40267
309	18061	40201
310	18114	40131
311	18163	40053
312	18211	39971
313	18272	39919
314	18320	39840
315	18365	39753
316	18415	39678
317	18472	39618
318	18520	39537
319	18567	39455
320	18621	39388
321	18673	39319
322	18727	39251
323	18776	39176
324	18830	39108
325	18894	39064
326	18942	38986
