iter	Passed	Remaining
0	87	87325
1	156	78110
2	212	70690
3	277	69108
4	331	65894
5	393	65202
6	449	63723
7	505	62633
8	561	61865
9	626	62026
10	684	61551
11	737	60707
12	788	59888
13	855	60261
14	931	61200
15	1003	61730
16	1070	61921
17	1135	61938
18	1200	61963
19	1260	61758
20	1325	61809
21	1386	61645
22	1441	61220
23	1524	61998
24	1605	62622
25	1691	63355
26	1769	63756
27	1846	64097
28	1920	64316
29	2003	64769
30	2070	64734
31	2130	64442
32	2190	64174
33	2266	64397
34	2337	64445
35	2409	64507
36	2471	64335
37	2533	64149
38	2599	64044
39	2656	63751
40	2718	63590
41	2777	63349
42	2831	63011
43	2882	62639
44	2941	62435
45	3002	62274
46	3058	62012
47	3113	61741
48	3172	61578
49	3230	61387
50	3292	61270
51	3350	61075
52	3403	60814
53	3467	60741
54	3525	60581
55	3596	60624
56	3656	60489
57	3730	60592
58	3805	60688
59	3877	60754
60	3945	60732
61	4006	60612
62	4058	60369
63	4122	60285
64	4207	60519
65	4271	60449
66	4323	60204
67	4386	60124
68	4444	59962
69	4497	59751
70	4560	59670
71	4614	59478
72	4671	59325
73	4746	59395
74	4808	59306
75	4864	59136
76	4916	58935
77	4969	58737
78	5038	58740
79	5116	58837
80	5172	58687
81	5228	58528
82	5289	58434
83	5343	58268
84	5402	58160
85	5464	58073
86	5524	57976
87	5581	57841
88	5637	57700
89	5694	57578
90	5744	57382
91	5812	57363
92	5887	57415
93	5939	57242
94	5995	57118
95	6062	57093
96	6120	56974
97	6178	56867
98	6237	56766
99	6297	56680
100	6352	56545
101	6406	56400
102	6463	56286
103	6524	56207
104	6582	56110
105	6646	56055
106	6701	55928
107	6755	55792
108	6812	55688
109	6864	55543
110	6922	55443
111	6980	55345
112	7034	55220
113	7090	55109
114	7141	54957
115	7196	54843
116	7257	54775
117	7320	54718
118	7375	54604
119	7431	54501
120	7494	54440
121	7548	54326
122	7613	54283
123	7672	54200
124	7728	54100
125	7789	54030
126	7834	53853
127	7916	53928
128	7968	53805
129	8033	53760
130	8100	53734
131	8173	53745
132	8252	53797
133	8316	53745
134	8372	53643
135	8439	53613
136	8503	53567
137	8569	53525
138	8632	53469
139	8693	53404
140	8772	53444
141	8833	53371
142	8887	53263
143	8941	53154
144	9002	53084
145	9062	53006
146	9113	52881
147	9181	52854
