iter	Passed	Remaining
0	57	57303
1	101	50727
2	169	56178
3	231	57604
4	306	60932
5	374	62113
6	446	63274
7	505	62680
8	562	61926
9	624	61851
10	686	61748
11	746	61443
12	814	61823
13	915	64490
14	975	64051
15	1030	63360
16	1090	63077
17	1159	63281
18	1227	63403
19	1290	63245
20	1373	64047
21	1446	64310
22	1501	63800
23	1553	63158
24	1619	63175
25	1681	62983
26	1730	62378
27	1786	62031
28	1834	61418
29	1888	61054
30	1936	60531
31	1989	60190
32	2054	60201
33	2112	60029
34	2164	59687
35	2220	59467
36	2268	59043
37	2323	58815
38	2376	58562
39	2428	58287
40	2485	58127
41	2541	57965
42	2590	57656
43	2636	57289
44	2686	57015
45	2756	57166
46	2812	57030
47	2864	56811
48	2914	56565
49	2973	56490
50	3031	56416
51	3084	56238
52	3139	56101
53	3193	55950
54	3241	55697
55	3302	55662
56	3362	55622
57	3415	55471
58	3475	55436
59	3527	55269
60	3588	55246
61	3661	55401
62	3713	55230
63	3780	55296
64	3843	55287
65	3906	55286
66	3957	55111
67	4023	55139
68	4078	55034
69	4132	54907
70	4194	54881
71	4252	54811
72	4314	54792
73	4371	54708
74	4429	54633
75	4481	54491
76	4556	54623
77	4608	54474
78	4677	54535
79	4734	54446
80	4787	54314
81	4841	54198
82	4894	54080
83	4941	53888
84	4995	53770
85	5052	53693
86	5101	53540
87	5153	53411
88	5209	53320
89	5268	53269
90	5319	53132
91	5378	53087
92	5438	53039
93	5486	52884
94	5550	52871
95	5609	52825
96	5674	52820
97	5757	52995
98	5813	52907
99	5869	52823
100	5933	52814
101	5992	52755
102	6060	52776
103	6124	52769
104	6189	52755
105	6249	52711
106	6302	52601
107	6350	52451
108	6415	52439
109	6466	52320
110	6533	52324
111	6581	52183
112	6643	52148
113	6704	52109
114	6760	52029
115	6818	51964
116	6873	51875
117	6927	51782
118	6977	51654
119	7027	51537
120	7078	51419
121	7132	51328
122	7179	51189
123	7230	51078
124	7282	50975
125	7338	50901
126	7392	50817
127	7448	50741
128	7499	50635
129	7558	50583
130	7613	50507
131	7666	50414
132	7718	50312
133	7775	50248
134	7826	50149
135	7885	50099
136	7947	50063
137	8009	50030
138	8057	49910
139	8115	49851
140	8169	49769
141	8226	49707
142	8280	49622
143	8334	49542
144	8395	49502
145	8459	49480
146	8510	49385
147	8564	49302
148	8616	49211
149	8671	49139
150	8720	49031
151	8779	48979
152	8835	48910
153	8889	48832
154	8948	48784
155	8993	48657
156	9049	48592
157	9091	48448
158	9147	48384
159	9201	48307
160	9262	48270
161	9314	48184
162	9368	48109
163	9421	48027
164	9490	48026
165	9551	47987
166	9599	47881
167	9648	47784
168	9699	47695
169	9752	47616
170	9804	47533
171	9853	47434
172	9913	47389
173	9967	47314
174	10019	47233
175	10081	47199
176	10144	47170
177	10197	47089
178	10251	47019
179	10311	46974
180	10366	46905
181	10415	46812
182	10470	46744
183	10523	46667
184	10589	46653
185	10646	46591
186	10691	46483
187	10747	46418
188	10803	46359
189	10853	46270
190	10912	46219
191	10973	46179
192	11023	46092
193	11075	46015
194	11129	45944
195	11179	45858
196	11231	45782
197	11277	45681
198	11331	45612
199	11379	45517
200	11432	45445
201	11485	45371
202	11543	45320
203	11596	45249
204	11654	45196
205	11720	45173
206	11772	45098
207	11827	45034
208	11878	44956
209	11931	44884
210	11995	44853
211	12065	44845
212	12118	44777
213	12179	44732
214	12229	44650
215	12287	44598
216	12342	44536
217	12405	44499
218	12454	44416
219	12510	44354
220	12566	44295
221	12625	44247
222	12677	44173
223	12744	44149
224	12802	44097
225	12859	44042
226	12909	43961
227	12967	43908
228	13022	43842
229	13074	43769
230	13129	43707
231	13180	43633
232	13251	43622
233	13306	43560
234	13351	43462
235	13407	43403
236	13460	43333
237	13514	43269
238	13566	43197
239	13639	43192
240	13704	43159
241	13742	43044
242	13799	42987
243	13851	42916
244	13906	42855
245	13959	42784
246	14015	42727
247	14066	42654
248	14125	42604
249	14182	42548
250	14242	42499
251	14297	42437
252	14347	42362
253	14401	42296
254	14458	42242
255	14520	42199
256	14572	42130
257	14623	42055
258	14694	42040
259	14751	41985
260	14804	41917
261	14862	41863
262	14916	41799
263	14981	41766
264	15035	41701
265	15096	41657
266	15139	41562
267	15198	41512
268	15281	41528
269	15382	41588
270	15475	41629
271	15539	41589
272	15592	41523
273	15642	41447
274	15702	41397
275	15763	41350
276	15818	41287
277	15871	41220
278	15933	41176
279	15992	41123
280	16053	41076
281	16117	41035
282	16177	40985
283	16238	40938
284	16294	40878
285	16347	40812
286	16402	40748
287	16455	40681
288	16511	40620
289	16563	40552
290	16621	40496
291	16685	40455
292	16740	40394
293	16828	40410
294	16881	40343
295	16939	40289
296	17009	40261
297	17056	40180
298	17110	40115
299	17169	40062
300	17225	40002
301	17271	39919
302	17331	39867
303	17379	39790
304	17437	39735
305	17494	39676
306	17560	39638
307	17619	39587
308	17670	39515
309	17740	39486
310	17797	39429
311	17850	39363
312	17909	39308
313	17958	39233
314	18018	39182
315	18072	39118
316	18115	39031
317	18175	38979
318	18240	38938
319	18297	38881
320	18357	38831
321	18424	38795
322	18488	38751
323	18536	38674
324	18588	38605
325	18648	38555
326	18705	38497
327	18766	38449
328	18819	38382
329	18868	38308
330	18925	38251
331	18987	38204
332	19043	38144
333	19089	38065
334	19163	38040
335	19223	37988
336	19277	37925
337	19335	37869
338	19386	37800
339	19441	37738
340	19501	37687
341	19554	37623
342	19618	37578
343	19671	37512
344	19725	37449
345	19785	37397
346	19840	37337
347	19904	37292
348	19967	37245
349	20020	37181
350	20070	37110
351	20115	37031
352	20169	36967
353	20231	36918
354	20282	36851
355	20337	36790
356	20390	36725
357	20437	36650
358	20493	36591
359	20549	36531
360	20617	36493
361	20680	36448
362	20731	36380
363	20797	36338
364	20847	36269
365	20908	36219
366	20967	36164
367	21030	36117
368	21080	36048
369	21144	36003
370	21209	35959
371	21260	35891
372	21310	35821
373	21379	35784
374	21448	35748
375	21516	35707
376	21566	35638
377	21623	35581
378	21676	35518
379	21740	35471
380	21796	35412
381	21855	35357
382	21917	35308
383	21987	35272
384	22048	35220
385	22110	35170
386	22169	35115
387	22222	35052
388	22276	34990
389	22337	34938
390	22394	34880
391	22457	34831
392	22516	34776
393	22572	34718
394	22625	34654
395	22684	34599
396	22735	34532
397	22796	34481
398	22847	34414
399	22908	34363
400	22964	34304
401	23030	34258
402	23082	34194
403	23145	34145
404	23200	34084
405	23254	34022
406	23312	33966
407	23351	33882
408	23416	33836
409	23461	33761
410	23541	33736
411	23598	33679
412	23657	33624
413	23715	33569
414	23777	33517
415	23851	33484
416	23911	33430
417	23966	33370
418	24018	33305
419	24084	33258
420	24140	33200
421	24191	33134
422	24254	33084
423	24308	33022
424	24363	32962
425	24413	32895
426	24463	32827
427	24518	32767
428	24575	32710
429	24631	32651
430	24685	32589
431	24732	32518
432	24787	32458
433	24844	32400
434	24909	32353
435	24967	32296
436	25021	32235
437	25083	32184
438	25137	32122
439	25193	32063
440	25259	32018
441	25320	31965
442	25370	31899
443	25419	31831
444	25480	31778
445	25535	31719
446	25587	31655
447	25644	31598
448	25700	31538
449	25754	31477
450	25806	31413
451	25859	31352
452	25910	31287
453	25969	31231
454	26018	31165
455	26089	31124
456	26177	31103
457	26233	31045
458	26287	30983
459	26363	30947
460	26419	30889
461	26493	30851
462	26552	30796
463	26606	30735
464	26659	30672
465	26710	30608
466	26755	30536
467	26811	30477
468	26862	30413
469	26915	30351
470	26973	30294
471	27030	30237
472	27096	30190
473	27160	30139
474	27214	30078
475	27267	30017
476	27313	29947
477	27371	29890
478	27431	29836
479	27486	29776
480	27543	29719
481	27598	29659
482	27654	29601
483	27703	29534
484	27763	29480
485	27822	29425
486	27884	29372
487	27935	29309
488	27994	29253
489	28054	29199
490	28120	29151
491	28169	29085
492	28216	29017
493	28271	28958
494	28319	28891
495	28371	28829
496	28419	28762
497	28465	28693
498	28515	28630
499	28564	28564
500	28617	28503
501	28673	28444
502	28724	28381
503	28775	28318
504	28824	28254
505	28881	28196
506	28928	28129
507	28983	28070
508	29030	28003
509	29079	27939
510	29128	27874
511	29181	27813
512	29229	27748
513	29281	27686
514	29337	27628
515	29390	27568
516	29429	27494
517	29493	27444
518	29544	27381
519	29587	27311
520	29641	27251
521	29686	27184
522	29739	27123
523	29789	27060
524	29838	26996
525	29891	26936
526	29946	26877
527	30007	26825
528	30083	26785
529	30139	26727
530	30199	26673
531	30248	26609
532	30304	26551
533	30357	26492
534	30406	26427
535	30461	26369
536	30507	26303
537	30563	26246
538	30617	26186
539	30674	26130
540	30730	26072
541	30782	26011
