iter	Logloss
0	0.656947808
5	0.5147844353
10	0.4239835291
15	0.3667464544
20	0.3268870923
25	0.2981090162
30	0.2801520328
35	0.266592909
40	0.2569604656
45	0.2498239351
50	0.2445497193
55	0.2401740823
60	0.2372072207
65	0.2342175989
70	0.2318244524
75	0.2298516139
80	0.2284704375
85	0.2270119686
90	0.2261648754
95	0.2251476057
100	0.2243806468
105	0.2237082104
110	0.2230013649
115	0.2224895042
120	0.2220415717
125	0.2216360361
130	0.2212270954
135	0.2209157496
140	0.2207329513
145	0.2204279548
150	0.2200429776
155	0.2197384162
160	0.2194423292
165	0.2190999281
170	0.2188078093
175	0.2185979498
180	0.218316635
185	0.218090851
190	0.2178815291
195	0.2176663956
200	0.2174732541
205	0.2172685406
210	0.2171422203
215	0.2169450081
220	0.2167429828
225	0.2164102849
230	0.216226693
235	0.216024258
240	0.2158998835
245	0.2157237162
250	0.2155806266
255	0.2153810079
260	0.2152683079
265	0.2151844101
270	0.2150516638
275	0.214833842
280	0.2147639614
285	0.2147029262
290	0.2146109255
295	0.2144206642
300	0.2143425525
305	0.2142036105
310	0.21412034
315	0.2138868754
320	0.2137532586
325	0.2135983025
330	0.213429995
335	0.2132867775
340	0.2131437007
345	0.2129004306
350	0.2127869113
355	0.2126540754
360	0.2126011432
365	0.2124142487
370	0.2123317719
375	0.2123001022
380	0.2122379789
385	0.2121694808
390	0.2120589954
395	0.2118777077
400	0.2117881775
405	0.2117226236
410	0.2116676945
415	0.2115614974
420	0.2114376734
425	0.211256104
430	0.2111222568
435	0.2110152277
440	0.210853423
445	0.2107052643
450	0.2105668983
455	0.2105308635
460	0.2104202117
465	0.2103592917
470	0.2102607625
475	0.2101531317
480	0.2100230095
485	0.2098998639
490	0.2097793425
495	0.2096684731
500	0.209647057
505	0.2096068107
510	0.209588134
515	0.2095233098
520	0.2094727715
525	0.2094049774
530	0.209333727
535	0.2092417647
540	0.2091459748
545	0.2090995968
550	0.2089885737
555	0.2088343473
560	0.2087823113
565	0.2086835516
570	0.2085732454
575	0.2084726039
580	0.2083486519
585	0.2082711674
590	0.2082003779
595	0.2081707692
600	0.2081447064
605	0.2080591957
610	0.2080195382
615	0.207893282
620	0.2078161944
625	0.2076948921
630	0.2076643105
635	0.2076568219
640	0.2075553484
645	0.2074939933
650	0.2074636293
655	0.2073854024
660	0.2072715247
665	0.2072241482
670	0.2071584407
675	0.2071164406
680	0.2070703058
685	0.2070406459
690	0.2069479155
695	0.2069161562
700	0.2068686901
705	0.2068035587
710	0.2066913195
715	0.2066057832
720	0.2064115153
725	0.2063158919
730	0.2062123446
735	0.2061580556
740	0.2060633538
745	0.2060439091
750	0.2060083607
755	0.2059158607
760	0.205819546
765	0.2056675597
770	0.2056050141
775	0.205575751
780	0.2055446446
785	0.205463243
790	0.2053592349
795	0.2053496598
800	0.2053293318
805	0.2052951787
810	0.2052412609
815	0.2051746061
820	0.2051497466
825	0.2051185249
830	0.2051018068
835	0.2050521646
840	0.2050111246
845	0.2049228361
850	0.2048548756
855	0.2048144245
860	0.2046888851
865	0.2046474866
870	0.2046049873
875	0.204523125
880	0.2045129098
885	0.2043878184
890	0.2043695514
895	0.2042873178
900	0.2042742736
905	0.2042317742
910	0.2041677565
915	0.2040417306
920	0.2039859439
925	0.2039558231
930	0.2039397067
935	0.2037955931
940	0.2037233698
945	0.2036767998
950	0.2036550765
955	0.2036045894
960	0.2035864888
965	0.2035405204
970	0.2034952561
975	0.2034223928
980	0.2033180774
985	0.2032888784
990	0.2031954567
995	0.2031716596
999	0.2031006525
